dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.h2database:h2,org.springframework:spring-core,86,353,326,0.24,0.26,0.26
commons-validator:commons-validator,log4j:log4j,35,101,491,0.35,0.07,0.35
cglib:cglib,javax.servlet.jsp:jsp-api,21,126,103,0.17,0.2,0.2
org.junit.jupiter:junit-jupiter-params,org.projectlombok:lombok,29,151,373,0.19,0.08,0.19
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.junit.jupiter:junit-jupiter-params,17,134,151,0.13,0.11,0.13
org.mongodb:mongo-java-driver,org.springframework:spring-web,24,110,278,0.22,0.09,0.22
commons-cli:commons-cli,org.freemarker:freemarker,23,368,150,0.06,0.15,0.15
commons-cli:commons-cli,org.apache.commons:commons-text,52,368,174,0.14,0.3,0.3
org.hibernate:hibernate-validator,org.mockito:mockito-core,53,149,865,0.36,0.06,0.36
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.apache.maven:maven-plugin-api,25,122,254,0.2,0.1,0.2
commons-net:commons-net,org.junit.jupiter:junit-jupiter-api,19,126,262,0.15,0.07,0.15
javax.mail:mail,redis.clients:jedis,25,154,179,0.16,0.14,0.16
com.thoughtworks.xstream:xstream,org.apache.lucene:lucene-core,19,115,136,0.17,0.14,0.17
org.hibernate:hibernate-core,org.springframework.boot:spring-boot-starter-web,22,193,139,0.11,0.16,0.16
com.google.code.findbugs:jsr305,com.h2database:h2,57,315,353,0.18,0.16,0.18
com.google.code.findbugs:jsr305,org.eclipse.jetty:jetty-util,30,315,110,0.1,0.27,0.27
ch.qos.logback:logback-classic,mysql:mysql-connector-java,149,657,494,0.23,0.3,0.3
org.apache.velocity:velocity,org.jsoup:jsoup,24,126,220,0.19,0.11,0.19
org.apache.velocity:velocity,org.mockito:mockito-core,41,126,865,0.33,0.05,0.33
org.apache.velocity:velocity,org.junit.jupiter:junit-jupiter,6,126,133,0.05,0.05,0.05
org.codehaus.jackson:jackson-core-asl,org.testcontainers:testcontainers,9,104,111,0.09,0.08,0.09
org.codehaus.jackson:jackson-core-asl,org.easymock:easymock,21,104,185,0.2,0.11,0.2
javax.ws.rs:javax.ws.rs-api,org.hibernate:hibernate-validator,21,134,149,0.16,0.14,0.16
javax.ws.rs:javax.ws.rs-api,javax.xml.bind:jaxb-api,47,134,295,0.35,0.16,0.35
org.hamcrest:hamcrest-all,org.postgresql:postgresql,34,236,230,0.14,0.15,0.15
org.mockito:mockito-core,org.slf4j:slf4j-jdk14,40,865,101,0.05,0.4,0.4
org.mockito:mockito-core,org.slf4j:jul-to-slf4j,78,865,140,0.09,0.56,0.56
org.mockito:mockito-core,org.openjdk.jmh:jmh-core,83,865,204,0.1,0.41,0.41
org.slf4j:jul-to-slf4j,org.springframework:spring-webmvc,24,140,251,0.17,0.1,0.17
commons-httpclient:commons-httpclient,org.apache.commons:commons-pool2,11,138,114,0.08,0.1,0.1
com.beust:jcommander,org.freemarker:freemarker,9,100,150,0.09,0.06,0.09
com.beust:jcommander,org.hibernate:hibernate-entitymanager,4,100,109,0.04,0.04,0.04
com.jcraft:jsch,org.reflections:reflections,20,101,167,0.2,0.12,0.2
org.apache.commons:commons-text,org.hibernate:hibernate-validator,14,174,149,0.08,0.09,0.09
org.apache.commons:commons-text,org.openjdk.jmh:jmh-core,24,174,204,0.14,0.12,0.14
org.apache.commons:commons-text,org.glassfish.jaxb:jaxb-runtime,27,174,132,0.16,0.2,0.2
com.fasterxml.jackson.core:jackson-databind,org.assertj:assertj-core,132,804,425,0.16,0.31,0.31
com.squareup.okhttp3:okhttp,org.apache.commons:commons-pool2,12,212,114,0.06,0.11,0.11
ch.qos.logback:logback-core,org.springframework:spring-jdbc,34,211,211,0.16,0.16,0.16
org.postgresql:postgresql,org.slf4j:jcl-over-slf4j,49,230,298,0.21,0.16,0.21
org.postgresql:postgresql,xerces:xercesImpl,28,230,109,0.12,0.26,0.26
com.google.guava:guava,org.apache.commons:commons-compress,148,1138,227,0.13,0.65,0.65
javax.servlet:javax.servlet-api,org.codehaus.groovy:groovy-all,47,468,117,0.1,0.4,0.4
javax.servlet:javax.servlet-api,org.apache.commons:commons-lang3,219,468,918,0.47,0.24,0.47
org.codehaus.plexus:plexus-utils,org.openjdk.jmh:jmh-generator-annprocess,12,135,192,0.09,0.06,0.09
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.yaml:snakeyaml,28,102,255,0.27,0.11,0.27
org.apache.ant:ant,org.apache.httpcomponents:httpmime,16,154,143,0.1,0.11,0.11
