dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.googlecode.json-simple:json-simple,org.slf4j:slf4j-jdk14,8,151,101,0.05,0.08,0.08
org.springframework:spring-webmvc,org.testcontainers:testcontainers,13,251,111,0.05,0.12,0.12
org.apache.kafka:kafka-clients,org.apache.poi:poi-ooxml,14,150,134,0.09,0.1,0.1
junit:junit,org.javassist:javassist,166,2231,222,0.07,0.75,0.75
commons-lang:commons-lang,org.junit.jupiter:junit-jupiter-engine,28,415,312,0.07,0.09,0.09
org.powermock:powermock-api-mockito2,org.slf4j:jcl-over-slf4j,24,100,298,0.24,0.08,0.24
org.junit.jupiter:junit-jupiter,org.junit.vintage:junit-vintage-engine,23,133,104,0.17,0.22,0.22
com.github.ben-manes.caffeine:caffeine,org.springframework:spring-beans,22,102,252,0.22,0.09,0.22
com.github.ben-manes.caffeine:caffeine,org.apache.httpcomponents:httpcore,30,102,255,0.29,0.12,0.29
io.springfox:springfox-swagger2,org.slf4j:slf4j-simple,7,137,365,0.05,0.02,0.05
org.hamcrest:hamcrest,org.ow2.asm:asm,16,127,164,0.13,0.1,0.13
org.eclipse.jetty:jetty-server,org.mockito:mockito-all,53,253,388,0.21,0.14,0.21
org.slf4j:slf4j-simple,org.testng:testng,53,365,278,0.15,0.19,0.19
commons-fileupload:commons-fileupload,org.junit.jupiter:junit-jupiter-engine,24,234,312,0.1,0.08,0.1
io.springfox:springfox-swagger-ui,org.junit.jupiter:junit-jupiter-params,8,121,151,0.07,0.05,0.07
org.apache.httpcomponents:httpclient,org.apache.lucene:lucene-analyzers-common,45,665,105,0.07,0.43,0.43
org.apache.commons:commons-collections4,org.apache.lucene:lucene-analyzers-common,23,217,105,0.11,0.22,0.22
commons-io:commons-io,org.hibernate:hibernate-core,100,1001,193,0.1,0.52,0.52
com.zaxxer:HikariCP,commons-net:commons-net,10,135,126,0.07,0.08,0.08
commons-net:commons-net,io.springfox:springfox-swagger-ui,14,126,121,0.11,0.12,0.12
commons-net:commons-net,org.mockito:mockito-core,56,126,865,0.44,0.06,0.44
org.apache.lucene:lucene-core,org.eclipse.jetty:jetty-util,10,136,110,0.07,0.09,0.09
org.apache.commons:commons-math3,org.apache.logging.log4j:log4j-core,42,177,346,0.24,0.12,0.24
io.netty:netty-handler,org.springframework.security:spring-security-web,5,106,102,0.05,0.05,0.05
commons-logging:commons-logging,org.apache.lucene:lucene-analyzers-common,29,360,105,0.08,0.28,0.28
org.apache.commons:commons-lang3,org.eclipse.jetty:jetty-util,66,918,110,0.07,0.6,0.6
org.apache.commons:commons-lang3,org.hamcrest:hamcrest-core,95,918,213,0.1,0.45,0.45
org.apache.commons:commons-lang3,org.springframework:spring-test,161,918,325,0.18,0.5,0.5
org.apache.zookeeper:zookeeper,org.springframework:spring-context-support,33,183,150,0.18,0.22,0.22
com.google.code.findbugs:jsr305,org.apache.lucene:lucene-analyzers-common,21,315,105,0.07,0.2,0.2
ch.qos.logback:logback-classic,javax.servlet:servlet-api,77,657,267,0.12,0.29,0.29
commons-configuration:commons-configuration,org.reflections:reflections,30,146,167,0.21,0.18,0.21
javax.servlet:jstl,org.apache.kafka:kafka-clients,5,119,150,0.04,0.03,0.04
javax.servlet:jstl,org.springframework:spring-test,54,119,325,0.45,0.17,0.45
org.apache.httpcomponents:httpmime,org.springframework:spring-beans,26,143,252,0.18,0.1,0.18
com.squareup.okhttp3:okhttp,org.apache.commons:commons-text,25,212,174,0.12,0.14,0.14
com.fasterxml.jackson.core:jackson-annotations,org.apache.curator:curator-framework,41,429,116,0.1,0.35,0.35
com.fasterxml.jackson.core:jackson-annotations,commons-configuration:commons-configuration,55,429,146,0.13,0.38,0.38
javax.servlet.jsp:jsp-api,org.springframework:spring-aop,25,103,171,0.24,0.15,0.24
com.google.guava:guava,javax.inject:javax.inject,110,1138,187,0.1,0.59,0.59
javax.servlet:javax.servlet-api,org.freemarker:freemarker,53,468,150,0.11,0.35,0.35
javax.servlet:javax.servlet-api,junit:junit,365,468,2231,0.78,0.16,0.78
javax.servlet:javax.servlet-api,mysql:mysql-connector-java,146,468,494,0.31,0.3,0.31
org.apache.maven.plugin-tools:maven-plugin-annotations,org.slf4j:slf4j-log4j12,34,219,528,0.16,0.06,0.16
javax.validation:validation-api,org.awaitility:awaitility,17,194,141,0.09,0.12,0.12
javax.validation:validation-api,joda-time:joda-time,64,194,382,0.33,0.17,0.33
javax.inject:javax.inject,org.apache.httpcomponents:httpcore,34,187,255,0.18,0.13,0.18
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.testcontainers:testcontainers,14,102,111,0.14,0.13,0.14
commons-beanutils:commons-beanutils,commons-collections:commons-collections,120,271,272,0.44,0.44,0.44
com.fasterxml.jackson.core:jackson-core,commons-cli:commons-cli,129,510,368,0.25,0.35,0.35
com.sun.xml.bind:jaxb-impl,javax.servlet:servlet-api,27,157,267,0.17,0.1,0.17
com.google.protobuf:protobuf-java,org.elasticsearch:elasticsearch,17,258,118,0.07,0.14,0.14
com.google.protobuf:protobuf-java,org.codehaus.plexus:plexus-utils,18,258,135,0.07,0.13,0.13
org.springframework:spring-web,xerces:xercesImpl,35,278,109,0.13,0.32,0.32
org.springframework.boot:spring-boot-starter-test,org.springframework:spring-context,45,127,417,0.35,0.11,0.35
org.mockito:mockito-junit-jupiter,org.springframework:spring-expression,6,107,108,0.06,0.06,0.06
com.googlecode.json-simple:json-simple,commons-lang:commons-lang,49,151,415,0.32,0.12,0.32
commons-codec:commons-codec,org.mongodb:mongo-java-driver,44,570,110,0.08,0.4,0.4
commons-codec:commons-codec,org.scala-lang:scala-library,64,570,174,0.11,0.37,0.37
junit:junit,org.springframework:spring-web,225,2231,278,0.1,0.81,0.81
org.apache.logging.log4j:log4j-core,org.apache.poi:poi-ooxml,37,346,134,0.11,0.28,0.28
org.apache.logging.log4j:log4j-core,org.eclipse.jetty:jetty-webapp,31,346,155,0.09,0.2,0.2
org.apache.maven:maven-artifact,org.springframework.security:spring-security-web,5,117,102,0.04,0.05,0.05
commons-lang:commons-lang,org.apache.curator:curator-recipes,41,415,128,0.1,0.32,0.32
org.powermock:powermock-api-mockito2,org.slf4j:slf4j-simple,18,100,365,0.18,0.05,0.18
org.powermock:powermock-api-mockito2,org.quartz-scheduler:quartz,10,100,133,0.1,0.08,0.1
com.google.code.gson:gson,org.springframework:spring-tx,52,624,160,0.08,0.33,0.33
javax.activation:activation,javax.servlet:javax.servlet-api,43,102,468,0.42,0.09,0.42
org.easymock:easymock,org.springframework.security:spring-security-web,19,185,102,0.1,0.19,0.19
com.alibaba:druid,commons-beanutils:commons-beanutils,36,137,271,0.26,0.13,0.26
com.github.ben-manes.caffeine:caffeine,javax.servlet.jsp:jsp-api,5,102,103,0.05,0.05,0.05
org.bouncycastle:bcprov-jdk15on,xerces:xercesImpl,25,182,109,0.14,0.23,0.23
javax.xml.bind:jaxb-api,org.openjdk.jmh:jmh-core,24,295,204,0.08,0.12,0.12
org.aspectj:aspectjrt,org.hibernate:hibernate-entitymanager,25,111,109,0.23,0.23,0.23
log4j:log4j,org.hamcrest:hamcrest-library,52,491,224,0.11,0.23,0.23
commons-io:commons-io,org.ow2.asm:asm,85,1001,164,0.08,0.52,0.52
commons-io:commons-io,org.slf4j:slf4j-log4j12,260,1001,528,0.26,0.49,0.49
io.netty:netty-all,org.apache.maven:maven-plugin-api,22,220,254,0.1,0.09,0.1
org.javassist:javassist,org.slf4j:jul-to-slf4j,28,222,140,0.13,0.2,0.2
cglib:cglib,org.apache.poi:poi,17,126,129,0.13,0.13,0.13
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.apache.maven.plugin-tools:maven-plugin-annotations,25,134,219,0.19,0.11,0.19
org.mongodb:mongo-java-driver,org.slf4j:log4j-over-slf4j,13,110,121,0.12,0.11,0.12
org.elasticsearch:elasticsearch,org.junit.jupiter:junit-jupiter-params,4,118,151,0.03,0.03,0.03
commons-net:commons-net,javax.xml.bind:jaxb-api,29,126,295,0.23,0.1,0.23
javax.mail:mail,org.powermock:powermock-module-junit4,20,154,203,0.13,0.1,0.13
javax.mail:mail,org.apache.lucene:lucene-core,21,154,136,0.14,0.15,0.15
io.netty:netty-handler,org.junit.jupiter:junit-jupiter-params,15,106,151,0.14,0.1,0.14
org.hibernate:hibernate-core,org.springframework:spring-jdbc,68,193,211,0.35,0.32,0.35
org.apache.zookeeper:zookeeper,org.springframework:spring-beans,41,183,252,0.22,0.16,0.22
org.jsoup:jsoup,org.reflections:reflections,21,220,167,0.1,0.13,0.13
ch.qos.logback:logback-classic,com.github.ben-manes.caffeine:caffeine,43,657,102,0.07,0.42,0.42
org.apache.velocity:velocity,org.bouncycastle:bcpkix-jdk15on,8,126,142,0.06,0.06,0.06
commons-configuration:commons-configuration,org.apache.thrift:libthrift,25,146,102,0.17,0.25,0.25
javax.ws.rs:javax.ws.rs-api,org.eclipse.jetty:jetty-server,42,134,253,0.31,0.17,0.31
org.hamcrest:hamcrest-all,org.slf4j:slf4j-jdk14,13,236,101,0.06,0.13,0.13
org.mockito:mockito-core,org.mybatis.spring.boot:mybatis-spring-boot-starter,12,865,125,0.01,0.1,0.1
org.apache.httpcomponents:httpmime,org.junit.vintage:junit-vintage-engine,3,143,104,0.02,0.03,0.03
commons-httpclient:commons-httpclient,org.apache.commons:commons-lang3,67,138,918,0.49,0.07,0.49
commons-httpclient:commons-httpclient,org.springframework:spring-webmvc,39,138,251,0.28,0.16,0.28
com.beust:jcommander,org.assertj:assertj-core,22,100,425,0.22,0.05,0.22
com.fasterxml.jackson.core:jackson-databind,net.java.dev.jna:jna,56,804,146,0.07,0.38,0.38
com.fasterxml.jackson.core:jackson-annotations,org.codehaus.jackson:jackson-mapper-asl,63,429,154,0.15,0.41,0.41
org.postgresql:postgresql,org.projectlombok:lombok,36,230,373,0.16,0.1,0.16
com.google.guava:guava,org.glassfish.jaxb:jaxb-runtime,69,1138,132,0.06,0.52,0.52
javax.servlet:javax.servlet-api,org.eclipse.jetty:jetty-server,129,468,253,0.28,0.51,0.51
org.apache.maven.plugin-tools:maven-plugin-annotations,org.hibernate:hibernate-core,17,219,193,0.08,0.09,0.09
javax.inject:javax.inject,org.slf4j:jul-to-slf4j,26,187,140,0.14,0.19,0.19
javax.inject:javax.inject,org.testcontainers:testcontainers,12,187,111,0.06,0.11,0.11
javax.inject:javax.inject,org.mybatis:mybatis,7,187,115,0.04,0.06,0.06
javax.inject:javax.inject,javax.xml.bind:jaxb-api,49,187,295,0.26,0.17,0.26
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.apache.logging.log4j:log4j-api,24,102,267,0.24,0.09,0.24
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.apache.commons:commons-pool2,9,102,114,0.09,0.08,0.09
org.apache.ant:ant,org.springframework:spring-test,20,154,325,0.13,0.06,0.13
org.antlr:antlr4-runtime,org.springframework.security:spring-security-web,7,114,102,0.06,0.07,0.07
org.antlr:antlr4-runtime,org.jsoup:jsoup,14,114,220,0.12,0.06,0.12
org.antlr:antlr4-runtime,org.apache.commons:commons-text,26,114,174,0.23,0.15,0.23
com.fasterxml.jackson.core:jackson-core,org.scala-lang:scala-library,60,510,174,0.12,0.34,0.34
com.fasterxml.jackson.core:jackson-core,xerces:xercesImpl,53,510,109,0.1,0.49,0.49
org.eclipse.jetty:jetty-servlet,org.slf4j:jcl-over-slf4j,53,189,298,0.28,0.18,0.28
com.google.protobuf:protobuf-java,org.apache.commons:commons-lang3,110,258,918,0.43,0.12,0.43
com.google.inject:guice,org.codehaus.jackson:jackson-core-asl,23,188,104,0.12,0.22,0.22
com.google.inject:guice,org.hamcrest:hamcrest-core,31,188,213,0.16,0.15,0.16
org.springframework.boot:spring-boot-starter-test,org.springframework:spring-web,37,127,278,0.29,0.13,0.29
org.apache.poi:poi,org.springframework:spring-orm,25,129,124,0.19,0.2,0.2
joda-time:joda-time,org.hsqldb:hsqldb,56,382,190,0.15,0.29,0.29
com.jayway.jsonpath:json-path,org.powermock:powermock-api-mockito2,9,120,100,0.08,0.09,0.09
commons-codec:commons-codec,org.eclipse.jetty:jetty-servlet,95,570,189,0.17,0.5,0.5
mysql:mysql-connector-java,org.apache.kafka:kafka-clients,53,494,150,0.11,0.35,0.35
org.apache.curator:curator-recipes,org.apache.logging.log4j:log4j-slf4j-impl,22,128,217,0.17,0.1,0.17
org.apache.thrift:libthrift,org.springframework:spring-jdbc,14,102,211,0.14,0.07,0.14
org.easymock:easymock,org.slf4j:jcl-over-slf4j,39,185,298,0.21,0.13,0.21
net.java.dev.jna:jna,org.springframework:spring-tx,8,146,160,0.05,0.05,0.05
io.dropwizard.metrics:metrics-core,org.junit.jupiter:junit-jupiter-api,20,145,262,0.14,0.08,0.14
com.github.ben-manes.caffeine:caffeine,javax.annotation:javax.annotation-api,31,102,235,0.3,0.13,0.3
org.slf4j:slf4j-api,org.springframework:spring-expression,87,1366,108,0.06,0.81,0.81
org.apache.maven:maven-plugin-api,org.codehaus.jackson:jackson-core-asl,22,254,104,0.09,0.21,0.21
io.springfox:springfox-swagger2,org.springframework:spring-beans,20,137,252,0.15,0.08,0.15
org.slf4j:log4j-over-slf4j,xerces:xercesImpl,16,121,109,0.13,0.15,0.15
javax.xml.bind:jaxb-api,org.apache.thrift:libthrift,21,295,102,0.07,0.21,0.21
org.apache.httpcomponents:httpclient,org.freemarker:freemarker,67,665,150,0.1,0.45,0.45
org.apache.lucene:lucene-analyzers-common,org.springframework:spring-expression,11,105,108,0.1,0.1,0.1
org.apache.commons:commons-compress,org.springframework:spring-web,41,227,278,0.18,0.15,0.18
io.netty:netty-all,org.springframework.boot:spring-boot-starter-test,20,220,127,0.09,0.16,0.16
org.javassist:javassist,org.slf4j:slf4j-simple,36,222,365,0.16,0.1,0.16
cglib:cglib,org.testcontainers:testcontainers,9,126,111,0.07,0.08,0.08
org.mongodb:mongo-java-driver,org.springframework:spring-tx,18,110,160,0.16,0.11,0.16
commons-cli:commons-cli,org.hamcrest:hamcrest-core,45,368,213,0.12,0.21,0.21
commons-cli:commons-cli,org.apache.httpcomponents:httpcore,71,368,255,0.19,0.28,0.28
com.alibaba:fastjson,org.powermock:powermock-module-junit4,21,288,203,0.07,0.1,0.1
com.alibaba:fastjson,com.google.inject:guice,10,288,188,0.03,0.05,0.05
org.apache.commons:commons-csv,redis.clients:jedis,16,125,179,0.13,0.09,0.13
commons-net:commons-net,org.junit.jupiter:junit-jupiter,7,126,133,0.06,0.05,0.06
org.codehaus.groovy:groovy-all,org.junit.jupiter:junit-jupiter,4,117,133,0.03,0.03,0.03
javax.mail:mail,org.slf4j:jul-to-slf4j,13,154,140,0.08,0.09,0.09
javax.mail:mail,org.antlr:antlr4-runtime,2,154,114,0.01,0.02,0.02
org.springframework:spring-tx,xerces:xercesImpl,22,160,109,0.14,0.2,0.2
com.thoughtworks.xstream:xstream,org.testng:testng,19,115,278,0.17,0.07,0.17
com.thoughtworks.xstream:xstream,org.apache.logging.log4j:log4j-core,21,115,346,0.18,0.06,0.18
commons-dbcp:commons-dbcp,org.apache.commons:commons-csv,13,122,125,0.11,0.1,0.11
commons-dbcp:commons-dbcp,javax.servlet:jstl,22,122,119,0.18,0.18,0.18
io.netty:netty-handler,org.springframework:spring-context-support,11,106,150,0.1,0.07,0.1
commons-logging:commons-logging,org.testng:testng,56,360,278,0.16,0.2,0.2
org.apache.curator:curator-framework,org.springframework.security:spring-security-web,9,116,102,0.08,0.09,0.09
com.google.code.findbugs:jsr305,com.sun.xml.bind:jaxb-impl,29,315,157,0.09,0.18,0.18
org.junit.vintage:junit-vintage-engine,org.springframework:spring-context,19,104,417,0.18,0.05,0.18
org.apache.velocity:velocity,org.springframework:spring-beans,31,126,252,0.25,0.12,0.25
commons-configuration:commons-configuration,org.slf4j:jcl-over-slf4j,39,146,298,0.27,0.13,0.27
org.codehaus.jackson:jackson-core-asl,org.powermock:powermock-module-junit4,19,104,203,0.18,0.09,0.18
org.codehaus.jackson:jackson-core-asl,org.eclipse.jetty:jetty-webapp,28,104,155,0.27,0.18,0.27
org.codehaus.jackson:jackson-core-asl,org.mockito:mockito-core,54,104,865,0.52,0.06,0.52
javax.ws.rs:javax.ws.rs-api,org.eclipse.jetty:jetty-webapp,24,134,155,0.18,0.15,0.18
javax.servlet:jstl,org.springframework:spring-aop,39,119,171,0.33,0.23,0.33
org.apache.httpcomponents:httpmime,org.hibernate:hibernate-validator,16,143,149,0.11,0.11,0.11
commons-httpclient:commons-httpclient,org.projectlombok:lombok,22,138,373,0.16,0.06,0.16
commons-httpclient:commons-httpclient,junit:junit,113,138,2231,0.82,0.05,0.82
com.beust:jcommander,org.apache.logging.log4j:log4j-slf4j-impl,16,100,217,0.16,0.07,0.16
com.beust:jcommander,org.junit.jupiter:junit-jupiter-engine,10,100,312,0.1,0.03,0.1
com.fasterxml.jackson.core:jackson-databind,commons-logging:commons-logging,179,804,360,0.22,0.5,0.5
com.fasterxml.jackson.core:jackson-annotations,com.google.inject:guice,61,429,188,0.14,0.32,0.32
javax.servlet.jsp:jsp-api,org.mybatis.spring.boot:mybatis-spring-boot-starter,3,103,125,0.03,0.02,0.03
com.google.guava:guava,org.apache.poi:poi,61,1138,129,0.05,0.47,0.47
javax.servlet:javax.servlet-api,org.springframework:spring-aop,95,468,171,0.2,0.56,0.56
javax.inject:javax.inject,org.springframework:spring-test,38,187,325,0.2,0.12,0.2
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.apache.hadoop:hadoop-common,8,102,125,0.08,0.06,0.08
org.apache.ant:ant,org.aspectj:aspectjweaver,10,154,163,0.06,0.06,0.06
com.google.protobuf:protobuf-java,org.scala-lang:scala-library,39,258,174,0.15,0.22,0.22
com.google.protobuf:protobuf-java,org.junit.jupiter:junit-jupiter-api,32,258,262,0.12,0.12,0.12
org.springframework.boot:spring-boot-starter-test,org.springframework:spring-beans,27,127,252,0.21,0.11,0.21
org.mockito:mockito-junit-jupiter,org.springframework:spring-beans,15,107,252,0.14,0.06,0.14
com.googlecode.json-simple:json-simple,org.apache.velocity:velocity,14,151,126,0.09,0.11,0.11
com.jayway.jsonpath:json-path,javax.xml.bind:jaxb-api,31,120,295,0.26,0.11,0.26
commons-codec:commons-codec,io.netty:netty-handler,34,570,106,0.06,0.32,0.32
org.apache.hadoop:hadoop-common,org.slf4j:jul-to-slf4j,16,125,140,0.13,0.11,0.13
org.apache.hadoop:hadoop-common,org.mockito:mockito-junit-jupiter,3,125,107,0.02,0.03,0.03
com.google.code.gson:gson,org.bouncycastle:bcprov-jdk15on,65,624,182,0.1,0.36,0.36
javax.activation:activation,org.reflections:reflections,17,102,167,0.17,0.1,0.17
org.junit.jupiter:junit-jupiter,org.projectlombok:lombok,15,133,373,0.11,0.04,0.11
io.dropwizard.metrics:metrics-core,org.hamcrest:hamcrest-library,32,145,224,0.22,0.14,0.22
org.apache.maven:maven-plugin-api,org.hsqldb:hsqldb,27,254,190,0.11,0.14,0.14
org.apache.maven:maven-core,org.freemarker:freemarker,17,183,150,0.09,0.11,0.11
org.apache.maven:maven-core,org.springframework:spring-context-support,12,183,150,0.07,0.08,0.08
org.bouncycastle:bcprov-jdk15on,org.slf4j:jul-to-slf4j,25,182,140,0.14,0.18,0.18
org.projectlombok:lombok,org.springframework:spring-webmvc,42,373,251,0.11,0.17,0.17
org.eclipse.jetty:jetty-server,xerces:xercesImpl,37,253,109,0.15,0.34,0.34
org.hsqldb:hsqldb,org.powermock:powermock-module-junit4,18,190,203,0.09,0.09,0.09
org.hsqldb:hsqldb,org.springframework:spring-jdbc,60,190,211,0.32,0.28,0.32
org.assertj:assertj-core,org.slf4j:jcl-over-slf4j,56,425,298,0.13,0.19,0.19
commons-fileupload:commons-fileupload,org.awaitility:awaitility,19,234,141,0.08,0.13,0.13
io.springfox:springfox-swagger-ui,org.apache.commons:commons-compress,8,121,227,0.07,0.04,0.07
org.apache.httpcomponents:httpclient,xerces:xercesImpl,62,665,109,0.09,0.57,0.57
log4j:log4j,org.quartz-scheduler:quartz,50,491,133,0.1,0.38,0.38
org.apache.logging.log4j:log4j-api,org.hibernate:hibernate-entitymanager,15,267,109,0.06,0.14,0.14
org.apache.logging.log4j:log4j-api,org.junit.jupiter:junit-jupiter-api,39,267,262,0.15,0.15,0.15
org.apache.logging.log4j:log4j-api,org.mockito:mockito-all,32,267,388,0.12,0.08,0.12
org.apache.commons:commons-compress,org.mybatis.spring.boot:mybatis-spring-boot-starter,5,227,125,0.02,0.04,0.04
com.zaxxer:HikariCP,org.apache.httpcomponents:httpmime,15,135,143,0.11,0.1,0.11
cglib:cglib,javax.ws.rs:javax.ws.rs-api,11,126,134,0.09,0.08,0.09
cglib:cglib,com.googlecode.json-simple:json-simple,15,126,151,0.12,0.1,0.12
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.hamcrest:hamcrest,12,134,127,0.09,0.09,0.09
commons-cli:commons-cli,org.apache.lucene:lucene-analyzers-common,30,368,105,0.08,0.29,0.29
commons-cli:commons-cli,javax.servlet.jsp:jsp-api,25,368,103,0.07,0.24,0.24
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,javax.annotation:javax.annotation-api,30,122,235,0.25,0.13,0.25
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.awaitility:awaitility,17,122,141,0.14,0.12,0.14
commons-net:commons-net,org.json:json,24,126,219,0.19,0.11,0.19
javax.annotation:javax.annotation-api,org.hamcrest:hamcrest-library,35,235,224,0.15,0.16,0.16
org.apache.lucene:lucene-core,org.slf4j:slf4j-jdk14,6,136,101,0.04,0.06,0.06
org.apache.commons:commons-math3,org.scala-lang:scala-library,39,177,174,0.22,0.22,0.22
com.thoughtworks.xstream:xstream,org.assertj:assertj-core,20,115,425,0.17,0.05,0.17
org.aspectj:aspectjweaver,org.junit.jupiter:junit-jupiter-engine,20,163,312,0.12,0.06,0.12
org.apache.commons:commons-lang3,org.apache.commons:commons-math3,101,918,177,0.11,0.57,0.57
org.apache.commons:commons-lang3,redis.clients:jedis,88,918,179,0.1,0.49,0.49
org.apache.curator:curator-framework,org.apache.velocity:velocity,7,116,126,0.06,0.06,0.06
com.google.code.findbugs:jsr305,org.mongodb:mongo-java-driver,19,315,110,0.06,0.17,0.17
com.google.code.findbugs:jsr305,javax.xml.bind:jaxb-api,58,315,295,0.18,0.2,0.2
org.apache.velocity:velocity,org.codehaus.plexus:plexus-utils,15,126,135,0.12,0.11,0.12
org.apache.velocity:velocity,org.slf4j:log4j-over-slf4j,10,126,121,0.08,0.08,0.08
javax.ws.rs:javax.ws.rs-api,org.postgresql:postgresql,21,134,230,0.16,0.09,0.16
org.mockito:mockito-core,org.quartz-scheduler:quartz,51,865,133,0.06,0.38,0.38
javax.servlet:jstl,org.yaml:snakeyaml,13,119,255,0.11,0.05,0.11
commons-httpclient:commons-httpclient,org.yaml:snakeyaml,25,138,255,0.18,0.1,0.18
com.beust:jcommander,commons-validator:commons-validator,5,100,101,0.05,0.05,0.05
com.beust:jcommander,commons-net:commons-net,6,100,126,0.06,0.05,0.06
com.jcraft:jsch,commons-dbcp:commons-dbcp,17,101,122,0.17,0.14,0.17
org.apache.commons:commons-text,org.javassist:javassist,33,174,222,0.19,0.15,0.19
org.apache.commons:commons-text,org.hamcrest:hamcrest-all,27,174,236,0.16,0.11,0.16
com.fasterxml.jackson.core:jackson-annotations,commons-httpclient:commons-httpclient,53,429,138,0.12,0.38,0.38
com.google.guava:guava,org.aspectj:aspectjrt,59,1138,111,0.05,0.53,0.53
javax.validation:validation-api,org.aspectj:aspectjrt,23,194,111,0.12,0.21,0.21
javax.inject:javax.inject,org.apache.logging.log4j:log4j-slf4j-impl,27,187,217,0.14,0.12,0.14
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,io.netty:netty-all,9,102,220,0.09,0.04,0.09
org.eclipse.jetty:jetty-util,org.mybatis.spring.boot:mybatis-spring-boot-starter,1,110,125,0.01,0.01,0.01
org.springframework:spring-aop,org.testcontainers:testcontainers,12,171,111,0.07,0.11,0.11
org.antlr:antlr4-runtime,org.freemarker:freemarker,11,114,150,0.1,0.07,0.1
org.mybatis.spring.boot:mybatis-spring-boot-starter,xerces:xercesImpl,1,125,109,0.01,0.01,0.01
org.mybatis.spring.boot:mybatis-spring-boot-starter,org.slf4j:log4j-over-slf4j,7,125,121,0.06,0.06,0.06
commons-beanutils:commons-beanutils,org.mockito:mockito-core,123,271,865,0.45,0.14,0.45
org.scala-lang:scala-library,org.springframework:spring-core,29,174,326,0.17,0.09,0.17
com.fasterxml.jackson.core:jackson-core,org.springframework:spring-orm,41,510,124,0.08,0.33,0.33
org.eclipse.jetty:jetty-servlet,org.springframework:spring-web,50,189,278,0.26,0.18,0.26
com.google.protobuf:protobuf-java,com.jayway.jsonpath:json-path,23,258,120,0.09,0.19,0.19
org.apache.logging.log4j:log4j-slf4j-impl,org.apache.lucene:lucene-core,22,217,136,0.1,0.16,0.16
org.bouncycastle:bcpkix-jdk15on,xerces:xercesImpl,13,142,109,0.09,0.12,0.12
org.junit.jupiter:junit-jupiter-api,org.springframework:spring-jdbc,21,262,211,0.08,0.1,0.1
joda-time:joda-time,org.junit.jupiter:junit-jupiter-engine,27,382,312,0.07,0.09,0.09
com.googlecode.json-simple:json-simple,org.projectlombok:lombok,15,151,373,0.1,0.04,0.1
com.googlecode.json-simple:json-simple,org.easymock:easymock,28,151,185,0.19,0.15,0.19
commons-codec:commons-codec,org.springframework.security:spring-security-web,54,570,102,0.09,0.53,0.53
commons-codec:commons-codec,org.springframework:spring-expression,62,570,108,0.11,0.57,0.57
org.apache.logging.log4j:log4j-core,org.glassfish.jaxb:jaxb-runtime,29,346,132,0.08,0.22,0.22
org.apache.maven:maven-artifact,org.hibernate:hibernate-validator,13,117,149,0.11,0.09,0.11
commons-lang:commons-lang,org.testcontainers:testcontainers,22,415,111,0.05,0.2,0.2
com.google.code.gson:gson,org.mongodb:mongo-java-driver,49,624,110,0.08,0.45,0.45
org.junit.jupiter:junit-jupiter,org.springframework:spring-tx,4,133,160,0.03,0.03,0.03
net.java.dev.jna:jna,org.apache.logging.log4j:log4j-core,36,146,346,0.25,0.1,0.25
io.dropwizard.metrics:metrics-core,org.springframework.boot:spring-boot-starter-test,8,145,127,0.06,0.06,0.06
com.github.ben-manes.caffeine:caffeine,org.eclipse.jetty:jetty-servlet,21,102,189,0.21,0.11,0.21
org.apache.maven:maven-plugin-api,org.springframework.security:spring-security-web,12,254,102,0.05,0.12,0.12
org.apache.maven:maven-plugin-api,org.slf4j:slf4j-api,129,254,1366,0.51,0.09,0.51
io.springfox:springfox-swagger2,org.apache.commons:commons-math3,7,137,177,0.05,0.04,0.05
io.springfox:springfox-swagger2,org.junit.vintage:junit-vintage-engine,6,137,104,0.04,0.06,0.06
org.slf4j:log4j-over-slf4j,org.springframework:spring-web,34,121,278,0.28,0.12,0.28
org.apache.avro:avro,org.apache.poi:poi,12,108,129,0.11,0.09,0.11
org.powermock:powermock-api-mockito2,org.testcontainers:testcontainers,16,100,111,0.16,0.14,0.16
org.apache.commons:commons-pool2,org.yaml:snakeyaml,24,114,255,0.21,0.09,0.21
org.projectlombok:lombok,org.springframework:spring-core,53,373,326,0.14,0.16,0.16
org.eclipse.jetty:jetty-server,org.freemarker:freemarker,27,253,150,0.11,0.18,0.18
org.slf4j:slf4j-simple,org.springframework:spring-core,49,365,326,0.13,0.15,0.15
io.springfox:springfox-swagger-ui,javax.servlet.jsp:jsp-api,5,121,103,0.04,0.05,0.05
javax.servlet:servlet-api,org.hamcrest:hamcrest,10,267,127,0.04,0.08,0.08
