dependency,count
com.nukkitx.fastutil:fastutil-byte-sets,1
io.smallrye:smallrye-opentracing,2
org.hibernate:hibernate-search-backend-jms,1
com.didiglobal.sds:sds-client,1
org.apache.shardingsphere:shardingsphere-infra-authority-api,1
org.apache.xmlgraphics:batik-parser,10
com.googlecode.genericdao:dao,1
org.jruby:yecht,1
org.sonatype.gossip:gossip-bootstrap,1
org.matsim.contrib:matrixbasedptrouter,1
software.amazon.awssdk:codebuild,1
software.amazon.awssdk:kinesisvideoarchivedmedia,1
software.amazon.awssdk:pricing,1
org.apache.tomcat:tomcat-catalina-ha,5
com.github.scribejava:scribejava-core,8
org.benf:cfr,4
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.ixa-model-lemmatizer-en-xlemma-perceptron-ud,1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.stanfordnlp-model-ner-en-conll.4class.distsim.crf,1
org.dkpro.core:dkpro-core-udpipe-bin,1
org.apache.cxf:cxf-rt-rs-service-description-openapi-v3,5
xyz.gianlu.zeroconf:zeroconf,1
com.webcohesion.enunciate:enunciate-core,1
org.dcache:dcache-gplazma,1
org.italiangrid:voms-api-java,1
net.sf.okapi.filters:okapi-filter-regex,2
org.fedorahosted.tennera:jgettext,1
com.fizzed:crux-vagrant,1
org.ops4j.pax.web:pax-web-compatibility-interceptor12,1
org.openhab.core.bundles:org.openhab.core.model.script.ide,1
com.simpligility.android.morse:morseflash-library,1
org.apache.xmlgraphics:batik-slideshow,1
com.artipie:http,1
com.amazonaws:aws-java-sdk-codegurureviewer,2
com.amazonaws:aws-java-sdk-devopsguru,2
org.apache.maven.surefire:common-junit4,2
com.founder.fix.fixflow:fixflow-webapp-managecenter,1
com.gemstone.gemfire:gemfire,1
org.apache.olingo:olingo-odata2-jpa-processor-ref,1
javax.security.enterprise:javax.security.enterprise-api,5
com.github.paulcwarren:spring-content-solr,1
org.apache.hyracks:hyracks-storage-am-rtree,1
io.logz.logback:logzio-logback-appender,1
info.picocli:picocli-shell-jline3,3
org.jupiter-rpc:jupiter-serialization-hessian,1
com.vladsch.flexmark:flexmark-ext-media-tags,1
com.vladsch.flexmark:flexmark-ext-superscript,1
io.gravitee.am.plugins.handlers:gravitee-am-plugins-handlers-factor,1
com.stormpath.sdk:stormpath-sdk-impl,1
io.fabric8:crd-generator-apt,1
org.eclipse.steady:lang,1
GWT-FX:GWT-FX,1
jexcelapi:jxl,4
org.apache.axis2:axis2-codegen,1
org.ioke:ioke-lang-lib,1
org.sakaiproject.entitybroker:entitybroker-restimpl,1
org.sakaiproject.search:search-adapters-impl,1
org.webjars.npm:mathjs,1
com.github.thomasdarimont.keycloak:auth-check-authz-policy-extension,1
io.selendroid:selendroid-client,3
org.hibernate.search:hibernate-search-mapper-javabean,1
io.trino:trino-geospatial,1
com.sun.jdmk:core,1
org.webjars.bower:ztree,1
net.sf.ucanaccess:ucanaccess,4
com.milaboratory:milib,1
de.tudarmstadt.ukp.inception.app:inception-ui-core,1
io.cattle:cattle-simulator-storage,1
org.graylog.repackaged:semver4j,1
io.quarkus:quarkus-oidc-client-reactive-filter,1
io.quarkus:quarkus-quartz,1
io.smallrye.reactive:smallrye-reactive-converter-rxjava2,2
org.wso2.carbon.identity.conditional.auth.functions:org.wso2.carbon.identity.conditional.auth.functions.choreo,1
org.wso2.orbit.joda-time:joda-time,3
org.wso2.carbon.data:org.wso2.carbon.dataservices.core,1
org.camunda.bpm.springboot:camunda-bpm-spring-boot-starter-test,2
org.radargun:plugin-jdg71,1
org.unidal.webres:WebResServer,1
org.restheart:restheart-polyglot,1
org.jzy3d:jzy3d-native-jogl-swing,1
org.apache.spark:spark-streaming-twitter_2.11,1
com.dslplatform:dsl-json-integration-tests-java8-external-models,1
org.dromara:hmily-serializer-msgpack,1
io.hops:hadoop-common,1
io.hops:hadoop-yarn-server-timelineservice-hbase-common,1
org.wildfly.swarm:jackson,1
dev.jorel:commandapi-1.16.5,1
io.mycat:config,1
org.apache.wicket.experimental.wicket9:wicket-http2-tomcat,1
org.exbin.deltahex:deltahex-highlight-swing,1
org.restcomm.commons:restcomm-statistics,1
