groupId,artifactId,mcrTags
org.wso2.carbon.apimgt,org.wso2.carbon.apimgt.hybrid.gateway.rest.api,"application,rest,gateway,web,webapp,api"
org.nuxeo.template.rendering,nuxeo-template-rendering-xdocreport,"template,render"
com.fasterxml.jackson.module,jackson-module-paranamer,"module,json"
com.github.fzakaria,ascii85,github
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.ixa-model-lemmatizer-es-perceptron-ancora-2.0,model
io.confluent,kafka-connect-protobuf-converter,"streaming,serialization,kafka,io,protocol"
io.javaoperatorsdk,operator-framework,"framework,io"
org.apache.shardingsphere.elasticjob,elasticjob-infra-common,apache
io.reactivex,rxjava-reactive-streams,"streaming,reactive,io"
org.jboss.arquillian.extension,arquillian-extension-byteman,"jboss,bytecode,extension"
org.wso2.carbon.registry,org.wso2.carbon.registry.relations.stub,"registry,stub"
io.r2dbc,r2dbc-postgresql,"database,postgresql,io"
org.apache.phoenix,phoenix-server-hbase-2.1,"database,server,apache,hbase"
com.blazebit,blaze-persistence-testsuite-base-datanucleus,persistence
org.apache.phoenix,phoenix-server-hbase-2.3,"database,server,apache,hbase"
org.apache.phoenix,phoenix-server-hbase-2.2,"database,server,apache,hbase"
com.alipay.sofa,sofa-tracer-dubbo-plugin,plugin
it.unibz.inf.ontop,ontop-system-sql-core,"sql,system"
org.apache.tez,tez-mapreduce,"mapreduce,apache,parallel"
software.amazon.awssdk,protocol-tests,"aws,amazon,testing,protocol"
org.netbeans.api,org-netbeans-modules-parsing-api,"module,parser,ide,api,netbeans"
org.apache.maven.doxia,doxia-module-apt,"module,build,build-system,maven,apache"
io.milton,milton-api,"io,api"
org.apache.phoenix,phoenix-server-hbase-2.4,"database,server,apache,hbase"
io.nuls.consensus-module,consensus-poc-base,"module,io"
org.apache.portals.bridges,portals-bridges-common,"portal,apache"
io.ratpack,ratpack-hystrix,io
com.github.fge,btf,github
org.jupiter-rpc,jupiter-serialization-java,"serialization,rpc"
com.hortonworks.registries,schema-registry-serdes,"registry,schema"
